rebalance_date,entry_date,exit_date,n_long,n_short,weighted_return,turnover_frac,cost,capital_before,capital_after,net_pnl
2025-07-03 00:00:00+00:00,2025-07-04 00:00:00+00:00,2025-07-11 00:00:00+00:00,14,14,-0.00622978577856232,0.07142857142857142,7.34359139469737,34270.0931752544,34049.2542447665,-220.83893048790196
2025-07-10 00:00:00+00:00,2025-07-11 00:00:00+00:00,2025-07-18 00:00:00+00:00,14,14,-0.031203751333528405,0.03571428571428571,3.6481343833678386,34049.2542447665,32983.14164783735,-1066.112596929146
2025-07-17 00:00:00+00:00,2025-07-18 00:00:00+00:00,2025-07-25 00:00:00+00:00,14,14,0.02431369379756297,0.0,0.0,32983.14164783735,33785.08365434451,801.9420065071608
2025-07-24 00:00:00+00:00,2025-07-25 00:00:00+00:00,2025-08-01 00:00:00+00:00,14,14,0.0015600041663969737,0.10714285714285712,10.859491174610733,33785.08365434451,33826.929034432746,41.84538008823438
2025-07-31 00:00:00+00:00,2025-08-01 00:00:00+00:00,2025-08-08 00:00:00+00:00,14,14,0.003368294804399279,0.14285714285714282,14.497255300471174,33826.929034432746,33926.37084844774,99.44181401499372
2025-08-07 00:00:00+00:00,2025-08-08 00:00:00+00:00,2025-08-15 00:00:00+00:00,14,14,-0.009623243403681777,0.03571428571428571,3.634968305190829,33926.37084844774,33596.25415566436,-330.1166927833765
2025-08-14 00:00:00+00:00,2025-08-15 00:00:00+00:00,2025-08-22 00:00:00+00:00,14,14,0.00656009060775693,0.03571428571428571,3.599598659535467,33596.25415566436,33813.04902834722,216.79487268285447
2025-08-21 00:00:00+00:00,2025-08-22 00:00:00+00:00,2025-08-29 00:00:00+00:00,14,14,0.0199303667836573,0.10714285714285712,10.868480044825889,33813.04902834722,34476.087017511134,663.0379891639168
2025-08-28 00:00:00+00:00,2025-08-29 00:00:00+00:00,2025-09-05 00:00:00+00:00,14,14,0.010927924710471337,0.07142857142857142,7.3877329323238135,34476.087017511134,34845.451367817834,369.36435030669963
2025-09-04 00:00:00+00:00,2025-09-05 00:00:00+00:00,2025-09-12 00:00:00+00:00,14,14,-0.01327029456100876,0.03571428571428571,3.733441217980482,34845.451367817834,34379.30852283761,-466.1428449802261
