date,nasdaq,sma200_prior,risk_on_signal_close,risk_on_actionable
1997-05-23 00:00:00+00:00,1389.72,1265.0732999999998,True,True
1997-05-27 00:00:00+00:00,1409.21,1266.33435,True,True
1997-05-28 00:00:00+00:00,1410.18,1267.69405,True,True
1997-05-29 00:00:00+00:00,1403.04,1269.0536,True,True
1997-05-30 00:00:00+00:00,1400.32,1270.43805,True,True
1997-06-02 00:00:00+00:00,1404.79,1271.7721,True,True
1997-06-03 00:00:00+00:00,1384.91,1273.1226,True,True
1997-06-04 00:00:00+00:00,1379.67,1274.3789,True,True
1997-06-05 00:00:00+00:00,1390.05,1275.6227000000001,True,True
1997-06-06 00:00:00+00:00,1404.84,1276.9496,True,True
1997-06-09 00:00:00+00:00,1412.04,1278.3396,True,True
1997-06-10 00:00:00+00:00,1401.69,1279.68,True,True
1997-06-11 00:00:00+00:00,1407.85,1280.9732000000001,True,True
1997-06-12 00:00:00+00:00,1411.32,1282.31635,True,True
1997-06-13 00:00:00+00:00,1423.03,1283.6278499999999,True,True
1997-06-16 00:00:00+00:00,1431.95,1284.9736,True,True
1997-06-17 00:00:00+00:00,1443.11,1286.4081999999999,True,True
1997-06-18 00:00:00+00:00,1432.43,1287.9162499999998,True,True
1997-06-19 00:00:00+00:00,1447.14,1289.36695,True,True
1997-06-20 00:00:00+00:00,1447.1,1290.88355,True,True
1997-06-23 00:00:00+00:00,1434.32,1292.49075,True,True
1997-06-24 00:00:00+00:00,1452.43,1293.9654,True,True
1997-06-25 00:00:00+00:00,1446.24,1295.484,True,True
1997-06-26 00:00:00+00:00,1436.38,1296.96805,True,True
1997-06-27 00:00:00+00:00,1438.15,1298.3801999999998,True,True
1997-06-30 00:00:00+00:00,1442.07,1299.7419,True,True
1997-07-01 00:00:00+00:00,1438.25,1301.0089,True,True
1997-07-02 00:00:00+00:00,1455.61,1302.23035,True,True
1997-07-03 00:00:00+00:00,1467.61,1303.4918499999999,True,True
1997-07-07 00:00:00+00:00,1470.74,1304.80135,True,True
1997-07-08 00:00:00+00:00,1485.1,1306.0946,True,True
1997-07-09 00:00:00+00:00,1486.63,1307.42165,True,True
1997-07-10 00:00:00+00:00,1490.93,1308.79745,True,True
1997-07-11 00:00:00+00:00,1502.62,1310.1757499999999,True,True
1997-07-14 00:00:00+00:00,1523.88,1311.56555,True,True
1997-07-15 00:00:00+00:00,1542.11,1313.04505,True,True
1997-07-16 00:00:00+00:00,1580.63,1314.60535,True,True
1997-07-17 00:00:00+00:00,1568.85,1316.3738999999998,True,True
1997-07-18 00:00:00+00:00,1547.99,1318.1106,True,True
1997-07-21 00:00:00+00:00,1536.23,1319.67,True,True
1997-07-22 00:00:00+00:00,1563.86,1321.1857,True,True
1997-07-23 00:00:00+00:00,1567.65,1322.7672,True,True
1997-07-24 00:00:00+00:00,1569.13,1324.3511,True,True
1997-07-25 00:00:00+00:00,1569.58,1325.9959999999999,True,True
1997-07-28 00:00:00+00:00,1563.53,1327.654,True,True
1997-07-29 00:00:00+00:00,1572.32,1329.2868000000003,True,True
1997-07-30 00:00:00+00:00,1588.05,1330.9070500000003,True,True
1997-07-31 00:00:00+00:00,1593.81,1332.5655000000002,True,True
1997-08-01 00:00:00+00:00,1594.33,1334.24405,True,True
1997-08-04 00:00:00+00:00,1605.45,1335.9607500000002,True,True
1997-08-05 00:00:00+00:00,1621.53,1337.7781999999997,True,True
1997-08-06 00:00:00+00:00,1630.44,1339.67345,True,True
1997-08-07 00:00:00+00:00,1624.18,1341.6436,True,True
1997-08-08 00:00:00+00:00,1598.52,1343.6645,True,True
1997-08-11 00:00:00+00:00,1586.74,1345.5177,True,True
1997-08-12 00:00:00+00:00,1576.24,1347.3164000000002,True,True
1997-08-13 00:00:00+00:00,1583.4,1349.0846,True,True
1997-08-14 00:00:00+00:00,1586.69,1350.9221500000003,True,True
1997-08-15 00:00:00+00:00,1562.03,1352.8403499999997,True,True
1997-08-18 00:00:00+00:00,1569.52,1354.61935,True,True
1997-08-19 00:00:00+00:00,1600.71,1356.3594,True,True
1997-08-20 00:00:00+00:00,1628.7,1358.25405,True,True
1997-08-21 00:00:00+00:00,1607.36,1360.29515,True,True
1997-08-22 00:00:00+00:00,1598.69,1362.1865999999998,True,True
1997-08-25 00:00:00+00:00,1601.57,1363.9525999999998,True,True
1997-08-26 00:00:00+00:00,1591.3,1365.68975,True,True
1997-08-27 00:00:00+00:00,1595.54,1367.3587,True,True
1997-08-28 00:00:00+00:00,1581.32,1369.02305,True,True
1997-08-29 00:00:00+00:00,1587.32,1370.6470000000002,True,True
1997-09-02 00:00:00+00:00,1618.09,1372.28,True,True
1997-09-03 00:00:00+00:00,1618.24,1374.01865,True,True
1997-09-04 00:00:00+00:00,1624.63,1375.8008499999999,True,True
1997-09-05 00:00:00+00:00,1635.77,1377.65115,True,True
1997-09-08 00:00:00+00:00,1645.35,1379.5169,True,True
1997-09-09 00:00:00+00:00,1656.22,1381.41895,True,True
1997-09-10 00:00:00+00:00,1639.25,1383.40965,True,True
1997-09-11 00:00:00+00:00,1639.86,1385.2341000000001,True,True
1997-09-12 00:00:00+00:00,1649.33,1387.03155,True,True
1997-09-15 00:00:00+00:00,1634.92,1388.8722,True,True
1997-09-16 00:00:00+00:00,1668.6,1390.6101999999998,True,True
1997-09-17 00:00:00+00:00,1666.47,1392.4901499999999,True,True
1997-09-18 00:00:00+00:00,1670.02,1394.3234,True,True
1997-09-19 00:00:00+00:00,1680.36,1396.17165,True,True
1997-09-22 00:00:00+00:00,1689.45,1398.08835,True,True
1997-09-23 00:00:00+00:00,1697.36,1400.035,True,True
1997-09-24 00:00:00+00:00,1687.41,1402.0834,True,True
1997-09-25 00:00:00+00:00,1678.89,1403.9391,True,True
1997-09-26 00:00:00+00:00,1682.24,1405.7707999999998,True,True
1997-09-29 00:00:00+00:00,1694.98,1407.6363999999999,True,True
1997-09-30 00:00:00+00:00,1685.69,1409.6196499999999,True,True
1997-10-01 00:00:00+00:00,1690.3,1411.6235499999998,True,True
1997-10-02 00:00:00+00:00,1702.41,1413.77015,True,True
1997-10-03 00:00:00+00:00,1715.87,1415.9506,True,True
1997-10-06 00:00:00+00:00,1721.91,1418.10305,True,True
1997-10-07 00:00:00+00:00,1737.27,1420.2333,True,True
1997-10-08 00:00:00+00:00,1741.77,1422.47685,True,True
1997-10-09 00:00:00+00:00,1745.85,1424.7881,True,True
1997-10-10 00:00:00+00:00,1739.03,1427.0792,True,True
1997-10-13 00:00:00+00:00,1742.12,1429.3015,True,True
1997-10-14 00:00:00+00:00,1732.79,1431.5551999999998,True,True
1997-10-15 00:00:00+00:00,1723.37,1433.7803999999999,True,True
1997-10-16 00:00:00+00:00,1699.66,1435.9421,True,True
1997-10-17 00:00:00+00:00,1666.85,1438.0369,True,True
