strategy,coin,timeframe,regime,status,periods,total_return,annualized_return,sharpe,max_drawdown,win_rate,profit_factor,total_trades,average_trade_duration_bars,calmar
dca,ADA,1d,Bull Trend,completed_historical_backtest,443,0.27086990192726845,0.21851401832831407,0.6941591541415312,0.712172824079472,,,17.0,,0.30682723482289165
dca,ADA,1d,Crash/Capitulation,completed_historical_backtest,56,0.21545313991943837,2.5701783119295967,1.5703696029373653,0.3344457678020303,,,1.0,,7.684888132448941
dca,ADA,1d,High Vol Expansion,completed_historical_backtest,121,2.4847398033908723,42.31045518724482,3.488241710268188,0.3730440427932491,,,0.0,,113.41946347792074
dca,ADA,1d,Range/Chop,completed_historical_backtest,1627,-0.8707101390982148,-0.3682394504648978,-0.19119907296769983,0.9824876321680247,,,53.0,,-0.37480314093350503
dca,ADA,1d,Unavailable,completed_historical_backtest,1,0.0,0.0,,0.0,,,1.0,,
funding_arbitrage,ADA,8h,Overall,completed_historical_backtest,7144,-0.353763875033578,-0.06477152781259898,-3.1495004872784196,0.3751744494542675,0.10365853658536585,0.3584164460001023,164.0,4.219512195121951,-0.17264376054077324
funding_arbitrage,ADA,8h,Bear Trend,completed_historical_backtest,1737,-0.045184891458091125,-0.028746714937516793,-2.970623364574143,0.045184891458091125,0.0,0.0,11.0,2.909090909090909,-0.636201925242629
funding_arbitrage,ADA,8h,Bull Trend,completed_historical_backtest,1084,-0.06849123792319778,-0.06920734670139161,-2.487163663128617,0.10012562459714691,0.16279069767441862,0.42445346511967,43.0,4.348837209302325,-0.6912051433371401
funding_arbitrage,ADA,8h,Crash/Capitulation,completed_historical_backtest,138,-0.019113875344318854,-0.1420740746210548,-6.987519862530634,0.019113875344318854,0.0,0.0,3.0,2.3333333333333335,-7.4330334409805054
funding_arbitrage,ADA,8h,High Vol Expansion,completed_historical_backtest,348,-0.06363769186569446,-0.18700984780196894,-5.503892120468203,0.06363769186569446,0.041666666666666664,0.23762934281045117,24.0,3.375,-2.9386648434177642
funding_arbitrage,ADA,8h,Range/Chop,completed_historical_backtest,3837,-0.2089162015424526,-0.06473448485948607,-3.279330483822164,0.2089162015424526,0.10843373493975904,0.43265159019432237,83.0,4.63855421686747,-0.30985861499272843
dca,DOGE,1d,Overall,completed_historical_backtest,2580,20.955255321906648,0.54853595056511,0.7415645684929701,0.9233069157994115,,,100.0,,0.5940992547317597
dca,DOGE,1d,Bear Trend,completed_historical_backtest,718,-0.35865348282980847,-0.20224935559597312,0.06691493943750118,0.68706497774036,,,27.0,,-0.29436714451832036
dca,DOGE,1d,Bull Trend,completed_historical_backtest,511,10.93931963873024,4.885698701281467,1.7721617350434735,0.6974368647131128,,,24.0,,7.005220039940354
dca,DOGE,1d,Crash/Capitulation,completed_historical_backtest,48,0.36411965632809706,9.620451761694108,2.240313256431546,0.42172028470167244,,,3.0,,22.812399855272968
dca,DOGE,1d,High Vol Expansion,completed_historical_backtest,190,0.6290648616313483,1.5551926032956938,1.4415598631677211,0.7204844415907414,,,16.0,,2.1585373861259503
dca,DOGE,1d,Range/Chop,completed_historical_backtest,1112,0.29025434100757797,0.0873082051616898,0.5004850105427182,0.8459926521958157,,,29.0,,0.10320208448037586
dca,DOGE,1d,Unavailable,completed_historical_backtest,1,0.0,0.0,,0.0,,,1.0,,
funding_arbitrage,DOGE,8h,Overall,completed_historical_backtest,6626,-0.3295592762980042,-0.06398028228295427,-3.1464236099952587,0.3295686154071915,0.136986301369863,0.3397001783815737,146.0,3.9863013698630136,-0.19413341954270977
funding_arbitrage,DOGE,8h,Bear Trend,completed_historical_backtest,1791,-0.05434263515546445,-0.033607112412336826,-3.435515445061051,0.05434263515546445,0.0,0.0,11.0,2.3636363636363638,-0.618429936571772
funding_arbitrage,DOGE,8h,Bull Trend,completed_historical_backtest,1266,-0.1511726655626502,-0.13225596889195823,-5.901116901412047,0.1511726655626502,0.09302325581395349,0.20775938473885847,43.0,3.372093023255814,-0.8748669503161446
