coin,regime,strategy,sharpe,max_drawdown,total_return,sharpe_rank
BTC,Bull Trend,momentum,1.7499365055366534,0.08943050778574291,0.4434899282721392,3.0
BTC,Bull Trend,breakout,0.04672381430285664,0.4905179504415754,-0.11029982916274961,4.0
BTC,Bull Trend,contrarian,-1.7816056680668806,0.6011476197404122,-0.6011476197404122,5.0
BTC,Bull Trend,statistical_arbitrage,-1.8168242540212864,0.6836117616927105,-0.6358485139840353,6.0
BTC,Bull Trend,grid,-2.5256101687950823,0.511176455832695,-0.5120653116444415,7.0
BTC,Bull Trend,mean_reversion,-2.650117373816951,0.8558572259300705,-0.8593810921822073,8.0
BTC,Bull Trend,funding_arbitrage,-4.556775505867672,0.1750288518526284,-0.1750288518526284,9.0
BTC,Crash/Capitulation,grid,3.7896528380158023,0.06025606943663231,0.19411067366537904,1.0
BTC,Crash/Capitulation,dca,3.267107555195861,0.14348627452273544,0.2713030840901671,2.0
BTC,Crash/Capitulation,statistical_arbitrage,2.18250984364167,0.06282424401742881,0.07922935056384217,3.0
BTC,Crash/Capitulation,contrarian,2.16274235566635,0.11368556586598655,0.12969733030927144,4.0
BTC,Crash/Capitulation,mean_reversion,1.2838030376778895,0.1897405385549472,0.06628744370516193,5.0
BTC,Crash/Capitulation,trend_following,-0.6577862717753465,0.217894735833424,-0.08092268695391502,6.0
BTC,Crash/Capitulation,breakout,-4.083359822176779,0.31965595877374964,-0.2603217126017269,7.0
BTC,Crash/Capitulation,momentum,-4.609249568512775,0.08503103592809047,-0.06858556733255516,8.0
BTC,Crash/Capitulation,funding_arbitrage,-8.598261238365774,0.017512000474137368,-0.016118351439912804,9.0
BTC,High Vol Expansion,momentum,2.2797771418143156,0.02820391495272201,0.041383721008722896,1.0
BTC,High Vol Expansion,trend_following,1.0652210767095345,0.12885186658473535,0.039903013777584206,2.0
BTC,High Vol Expansion,grid,0.4154173101739754,0.07139161286107842,0.008527090945599447,3.0
BTC,High Vol Expansion,funding_arbitrage,0.38663878634340487,0.021195000577074796,0.000883582138143435,4.0
BTC,High Vol Expansion,mean_reversion,0.34405465814836783,0.11949158160392237,0.003644227487085372,5.0
BTC,High Vol Expansion,dca,0.030116206740066993,0.23982272297063656,-0.04677302645218551,6.0
BTC,High Vol Expansion,contrarian,-0.1283595419897519,0.19619221495991546,-0.030552963902018004,7.0
BTC,High Vol Expansion,statistical_arbitrage,-1.7735009140248383,0.14646123742550288,-0.08666459947029648,8.0
BTC,High Vol Expansion,breakout,-4.374575488095273,0.32928513435051054,-0.2840260211656378,9.0
BTC,Range/Chop,momentum,0.6382668070226916,0.25880357377758656,0.2628388321018815,1.0
BTC,Range/Chop,trend_following,0.6055080579155006,0.5374239112178234,1.084363610160945,2.0
BTC,Range/Chop,breakout,0.3382795817770186,0.43221915328461136,0.25885381374790106,3.0
BTC,Range/Chop,dca,0.08720253765692663,0.8232235417767966,-0.2764488020467232,4.0
BTC,Range/Chop,contrarian,-0.4575145429215171,0.059782514824676,-0.05930882583550867,5.0
BTC,Range/Chop,statistical_arbitrage,-0.47645994974123995,0.5997747427091132,-0.4391798713673868,6.0
BTC,Range/Chop,mean_reversion,-1.3454169453783005,0.8968929040910789,-0.8816704010254598,7.0
BTC,Range/Chop,grid,-1.358394985233913,0.7063408687849322,-0.6320507705250278,8.0
BTC,Range/Chop,funding_arbitrage,-2.712298909030832,0.11060600042324731,-0.11060600042324731,9.0
DOGE,Bear Trend,contrarian,0.7863895931940498,0.0393746381007527,0.0834553833007814,1.0
DOGE,Bear Trend,mean_reversion,0.3101566739098677,0.5091175605579092,0.06939134534574687,2.0
DOGE,Bear Trend,dca,0.06691493943750118,0.68706497774036,-0.35865348282980847,3.0
DOGE,Bear Trend,momentum,-0.043461427785386905,0.20331340035857937,-0.026969644540287274,4.0
DOGE,Bear Trend,grid,-0.18800290903807892,0.37892003143128017,-0.15170529346908934,5.0
DOGE,Bear Trend,statistical_arbitrage,-0.20850244520722566,0.39646735988203496,-0.19189380286297286,6.0
DOGE,Bear Trend,trend_following,-0.29658449444294127,0.6041269423321546,-0.3814803740743058,7.0
DOGE,Bear Trend,breakout,-1.0034142860405157,0.780171007036855,-0.7530084280117824,8.0
DOGE,Bear Trend,funding_arbitrage,-3.435515445061051,0.05434263515546445,-0.05434263515546445,9.0
DOGE,Bull Trend,dca,1.7721617350434735,0.6974368647131128,10.93931963873024,1.0
DOGE,Bull Trend,breakout,1.656440685786203,0.515934544037537,3.6412422144085452,2.0
DOGE,Bull Trend,trend_following,1.0063169832395085,0.6576626879909391,1.0714180739986308,3.0
DOGE,Bull Trend,statistical_arbitrage,0.6238705571659716,0.47661877510249984,0.2750865153911888,4.0
DOGE,Bull Trend,contrarian,-1.0320957394513992,0.8314517543920538,-0.7632571811298189,5.0
DOGE,Bull Trend,momentum,-1.6402804896780006,0.5347831271849247,-0.48271459131923333,6.0
DOGE,Bull Trend,mean_reversion,-2.6445006777954596,0.9778295549637185,-0.9767925878088988,7.0
DOGE,Bull Trend,grid,-2.8560414721021745,0.9614059846200652,-0.9585036970814909,8.0
DOGE,Bull Trend,funding_arbitrage,-5.901116901412047,0.1511726655626502,-0.1511726655626502,9.0
