date,sp500,sma200_prior,risk_on_signal_close,risk_on_actionable
2022-07-22 00:00:00+00:00,3961.63,4356.73305,False,False
2022-07-25 00:00:00+00:00,3966.84,4354.8126,False,False
2022-07-26 00:00:00+00:00,3921.05,4352.829049999999,False,False
2022-07-27 00:00:00+00:00,4023.61,4350.4355,False,False
2022-07-28 00:00:00+00:00,4072.43,4348.59685,False,False
2022-07-29 00:00:00+00:00,4130.29,4347.15305,False,False
2022-08-01 00:00:00+00:00,4118.63,4346.05125,False,False
2022-08-02 00:00:00+00:00,4091.19,4344.8254,False,False
2022-08-03 00:00:00+00:00,4155.17,4343.09005,False,False
2022-08-04 00:00:00+00:00,4151.94,4341.50905,False,False
2022-08-05 00:00:00+00:00,4145.19,4339.83645,False,False
2022-08-08 00:00:00+00:00,4140.06,4337.96425,False,False
2022-08-09 00:00:00+00:00,4122.47,4335.9836000000005,False,False
2022-08-10 00:00:00+00:00,4210.24,4333.84705,False,False
2022-08-11 00:00:00+00:00,4207.27,4332.17375,False,False
2022-08-12 00:00:00+00:00,4280.15,4330.3777,False,False
2022-08-15 00:00:00+00:00,4297.14,4328.904500000001,False,False
2022-08-16 00:00:00+00:00,4305.2,4327.6318,False,False
2022-08-17 00:00:00+00:00,4274.04,4326.1757,False,False
2022-08-18 00:00:00+00:00,4283.74,4324.519,False,False
2022-08-19 00:00:00+00:00,4228.48,4322.86935,False,False
2022-08-22 00:00:00+00:00,4137.99,4320.8585,False,False
2022-08-23 00:00:00+00:00,4128.73,4318.2456,False,False
2022-08-24 00:00:00+00:00,4140.77,4315.48895,False,False
2022-08-25 00:00:00+00:00,4199.12,4312.70515,False,False
2022-08-26 00:00:00+00:00,4057.66,4310.19225,False,False
2022-08-29 00:00:00+00:00,4030.61,4307.0543,False,False
2022-08-30 00:00:00+00:00,3986.16,4303.9738,False,False
2022-08-31 00:00:00+00:00,3955.0,4300.6582499999995,False,False
2022-09-01 00:00:00+00:00,3966.85,4297.018999999999,False,False
2022-09-02 00:00:00+00:00,3924.26,4293.43925,False,False
2022-09-06 00:00:00+00:00,3908.19,4289.55605,False,False
2022-09-07 00:00:00+00:00,3979.87,4285.65365,False,False
2022-09-08 00:00:00+00:00,4006.18,4282.030299999999,False,False
2022-09-09 00:00:00+00:00,4067.36,4278.5714,False,False
2022-09-12 00:00:00+00:00,4110.41,4275.4935000000005,False,False
2022-09-13 00:00:00+00:00,3932.69,4272.59205,False,False
2022-09-14 00:00:00+00:00,3946.01,4268.7482,False,False
2022-09-15 00:00:00+00:00,3901.35,4265.50515,False,False
2022-09-16 00:00:00+00:00,3873.33,4261.73555,False,False
2022-09-19 00:00:00+00:00,3899.89,4258.267199999999,False,False
2022-09-20 00:00:00+00:00,3855.93,4255.20145,False,False
2022-09-21 00:00:00+00:00,3789.93,4251.5956,False,False
2022-09-22 00:00:00+00:00,3757.99,4247.8531,False,False
2022-09-23 00:00:00+00:00,3693.23,4243.684700000001,False,False
2022-09-26 00:00:00+00:00,3655.04,4238.7171,False,False
2022-09-27 00:00:00+00:00,3647.29,4233.48625,False,False
2022-09-28 00:00:00+00:00,3719.04,4228.38545,False,False
2022-09-29 00:00:00+00:00,3640.47,4223.42055,False,False
2022-09-30 00:00:00+00:00,3585.62,4218.27805,False,False
2022-10-03 00:00:00+00:00,3678.43,4213.0357,False,False
2022-10-04 00:00:00+00:00,3790.93,4207.8786,False,False
2022-10-05 00:00:00+00:00,3783.28,4203.4899,False,False
2022-10-06 00:00:00+00:00,3744.52,4199.3031,False,False
2022-10-07 00:00:00+00:00,3639.66,4195.1856,False,False
2022-10-10 00:00:00+00:00,3612.39,4190.13775,False,False
2022-10-11 00:00:00+00:00,3588.84,4184.7169,False,False
2022-10-12 00:00:00+00:00,3577.03,4179.03215,False,False
2022-10-13 00:00:00+00:00,3669.91,4172.96135,False,False
2022-10-14 00:00:00+00:00,3583.07,4167.37915,False,False
2022-10-17 00:00:00+00:00,3677.95,4161.3292,False,False
2022-10-18 00:00:00+00:00,3719.98,4155.8253,False,False
2022-10-19 00:00:00+00:00,3695.16,4150.5943,False,False
2022-10-20 00:00:00+00:00,3665.78,4145.0873,False,False
2022-10-21 00:00:00+00:00,3752.75,4139.4485,False,False
2022-10-24 00:00:00+00:00,3797.34,4134.70935,False,False
2022-10-25 00:00:00+00:00,3859.11,4130.2158,False,False
2022-10-26 00:00:00+00:00,3830.6,4126.1262,False,False
2022-10-27 00:00:00+00:00,3807.3,4121.92775,False,False
2022-10-28 00:00:00+00:00,3901.06,4117.3989,False,False
2022-10-31 00:00:00+00:00,3871.98,4113.27245,False,False
2022-11-01 00:00:00+00:00,3856.1,4109.3372,False,False
2022-11-02 00:00:00+00:00,3759.69,4105.30345,False,False
2022-11-03 00:00:00+00:00,3719.89,4101.21635,False,False
2022-11-04 00:00:00+00:00,3770.55,4097.152,False,False
2022-11-07 00:00:00+00:00,3806.8,4093.5911000000006,False,False
2022-11-08 00:00:00+00:00,3828.11,4090.6353999999997,False,False
2022-11-09 00:00:00+00:00,3748.57,4087.7252999999996,False,False
2022-11-10 00:00:00+00:00,3956.37,4084.6859000000004,False,False
2022-11-11 00:00:00+00:00,3992.93,4082.7181,False,False
2022-11-14 00:00:00+00:00,3957.25,4081.0501999999997,False,False
2022-11-15 00:00:00+00:00,3991.73,4078.6771999999996,False,False
2022-11-16 00:00:00+00:00,3958.79,4076.0581,False,False
2022-11-17 00:00:00+00:00,3946.56,4073.11935,False,False
2022-11-18 00:00:00+00:00,3965.34,4069.9052500000003,False,False
2022-11-21 00:00:00+00:00,3949.94,4067.3447499999997,False,False
2022-11-22 00:00:00+00:00,4003.58,4064.5918000000006,False,False
2022-11-23 00:00:00+00:00,4027.26,4062.1903500000003,False,False
2022-11-25 00:00:00+00:00,4026.12,4059.7189500000004,False,False
